reward_function,student_type,agent_type,run,final_state,avg_state,accuracy,engagement,questions_answered,avg_total_reward
correctness,FAST,bandit,1,2.8125,2.5331066703873013,0.43013112850430063,0.43477380047222547,65.9525,0.43013112850430063
correctness,FAST,bandit,2,2.7575,2.53605360530395,0.4269925635461202,0.44367910787765796,71.855,0.4269925635461202
correctness,FAST,bandit,3,2.745,2.486511540791866,0.44541500634024467,0.4640837062332238,72.61,0.44541500634024467
correctness,FAST,bandit,4,2.8075,2.5336327613904586,0.4245600347450305,0.44816954111260787,70.0075,0.4245600347450305
correctness,FAST,bandit,5,2.81,2.4899679123478444,0.42081738127439716,0.4436826347662787,67.8875,0.42081738127439716
correctness,FAST,bandit,6,2.7375,2.484695305708252,0.4253842169783729,0.4501999692785813,73.6275,0.4253842169783729
correctness,FAST,bandit,7,2.6625,2.4028358787663135,0.4199641047174605,0.4681853142091714,65.3925,0.4199641047174605
correctness,FAST,bandit,8,2.7375,2.4539890982188477,0.43023920581632064,0.4546185794529309,65.6675,0.43023920581632064
correctness,FAST,bandit,9,2.7925,2.588550370750816,0.4177594340827777,0.42805059680034446,67.035,0.4177594340827777
correctness,FAST,bandit,10,2.6875,2.461302570075242,0.40461542884107987,0.43175241830867217,59.5075,0.40461542884107987
correctness,FAST,bandit,11,2.7125,2.466201185959987,0.42366235071819813,0.44302831198159126,67.5425,0.42366235071819813
correctness,FAST,bandit,12,2.805,2.5330089222231105,0.41352773575598156,0.4349631172134146,68.01,0.41352773575598156
correctness,FAST,bandit,13,2.7625,2.489249965682018,0.44901824121348655,0.4549316922117659,72.9675,0.44901824121348655
correctness,FAST,bandit,14,2.75,2.50107212769017,0.42452264310967786,0.456855565254415,63.815,0.42452264310967786
correctness,FAST,bandit,15,2.775,2.526740160404445,0.43677073980207226,0.4437380547807325,72.78,0.43677073980207226
correctness,FAST,bandit,16,2.735,2.4602123871871635,0.4420101411878068,0.45983021419519027,70.865,0.4420101411878068
correctness,FAST,bandit,17,2.7775,2.5077897890134584,0.4212092926395535,0.44698169702877527,69.2875,0.4212092926395535
correctness,FAST,bandit,18,2.77,2.473631874071754,0.44214157314316976,0.4605404683641537,70.1525,0.44214157314316976
correctness,FAST,bandit,19,2.575,2.3458566028233765,0.41837530366372344,0.4606935949583857,63.4125,0.41837530366372344
correctness,FAST,bandit,20,2.7425,2.4956452077024425,0.39491683009734907,0.42326318427639664,62.1125,0.39491683009734907
correctness,FAST,bandit,21,2.81,2.536310503530028,0.44236305383394536,0.45293735159433546,69.37,0.44236305383394536
correctness,FAST,bandit,22,2.7775,2.525214284815305,0.4491782280779864,0.44974163804934314,74.9625,0.4491782280779864
correctness,FAST,bandit,23,2.68,2.4308817328996684,0.4249929294421974,0.4455265374924662,63.57,0.4249929294421974
correctness,FAST,bandit,24,2.6975,2.4496302880302374,0.42128906985635617,0.4512591377575075,63.8075,0.42128906985635617
correctness,FAST,bandit,25,2.6625,2.4410000007502477,0.4274524053063125,0.4681237990672744,65.2975,0.4274524053063125
correctness,FAST,bandit,26,2.8325,2.535834396370999,0.42194647403574626,0.44491599478866384,70.3625,0.42194647403574626
correctness,FAST,bandit,27,2.745,2.454682986946009,0.42231971829791376,0.44762712286339945,65.4625,0.42231971829791376
correctness,FAST,bandit,28,2.825,2.5803709871384073,0.41582055927696016,0.4283664492854957,68.005,0.41582055927696016
correctness,FAST,bandit,29,2.7375,2.534450633139597,0.42286002387389543,0.44352115436393674,74.4075,0.42286002387389543
correctness,FAST,bandit,30,2.815,2.556205522045664,0.40044429443748464,0.4228608667354814,62.275,0.40044429443748464
correctness,FAST,bandit,31,2.7675,2.49844162523997,0.4166343842437535,0.4299596555414803,66.195,0.4166343842437535
correctness,FAST,bandit,32,2.8225,2.513030116162019,0.4300120324046034,0.4430318556047027,70.81,0.4300120324046034
correctness,FAST,bandit,33,2.7075,2.5345125563790307,0.43206383167746,0.4193448865056943,70.585,0.43206383167746
correctness,FAST,bandit,34,2.7725,2.525287290270912,0.4342627636063575,0.4569215439806251,66.6375,0.4342627636063575
correctness,FAST,bandit,35,2.7875,2.531670135668188,0.40882581488530073,0.42151399071529,67.285,0.40882581488530073
correctness,FAST,bandit,36,2.77,2.5505549848382336,0.41355595155717007,0.41754457805482503,64.9575,0.41355595155717007
correctness,FAST,bandit,37,2.715,2.437295180157403,0.42511705389702614,0.4663648090241108,65.0375,0.42511705389702614
correctness,FAST,bandit,38,2.6925,2.4704376375739616,0.4348827619016892,0.4432637867584846,71.4825,0.4348827619016892
correctness,FAST,bandit,39,2.7925,2.486571439259943,0.4341751400210774,0.4447298220921239,68.47,0.4341751400210774
correctness,FAST,bandit,40,2.7775,2.495521530628709,0.4134669287467414,0.43534127133030265,69.1425,0.4134669287467414
correctness,FAST,bandit,41,2.8125,2.5504709882497063,0.41538323935857596,0.41894089822522335,64.045,0.41538323935857596
correctness,FAST,bandit,42,2.82,2.5472540648053554,0.41637514877417414,0.41501197739486173,62.805,0.41637514877417414
correctness,FAST,bandit,43,2.8075,2.527525209258712,0.4156623259675875,0.4374504962302499,62.9225,0.4156623259675875
correctness,FAST,bandit,44,2.785,2.525833606193199,0.4513884668323903,0.46627809724734776,73.715,0.4513884668323903
correctness,FAST,bandit,45,2.83,2.537236834434486,0.41211464854125884,0.42328899995577074,68.735,0.41211464854125884
correctness,FAST,bandit,46,2.7825,2.5256524137048983,0.4006437174641097,0.4230241385830408,60.6275,0.4006437174641097
correctness,FAST,bandit,47,2.6975,2.460009979884364,0.4093576253523693,0.4576858773593531,59.745,0.4093576253523693
correctness,FAST,bandit,48,2.7825,2.552807465942309,0.4283851411595617,0.45301042622654,68.8925,0.4283851411595617
correctness,FAST,bandit,49,2.7075,2.45374767832123,0.4286969760069791,0.4573432773761126,65.61,0.4286969760069791
correctness,FAST,bandit,50,2.7225,2.427843432935022,0.42369652800745977,0.45684809694790585,66.085,0.42369652800745977
correctness,FAST,pomdp,1,3.25,3.0728934728948714,0.6862799084229878,0.6022068362358047,160.54,0.6862799084229878
correctness,FAST,pomdp,2,3.135,2.9818234535285906,0.6833479062586382,0.5885278265510756,148.0875,0.6833479062586382
correctness,FAST,pomdp,3,3.125,2.949990964274241,0.6762832376376889,0.6308404041514438,152.0525,0.6762832376376889
