lambda,agent_type,run,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
0.1,bandit,1,1.9,1.8991775919648015,0.3549012560993194,0.4682671445160784,62.4075,0.45693055567440255
0.1,bandit,2,1.9475,1.8762573153958917,0.3544311658115361,0.47617348091040007,59.5375,0.4639992494005137
0.1,bandit,3,2.0175,1.9832643270642205,0.3727902119927252,0.4684713278278454,63.785,0.4589032162443334
0.1,bandit,4,2.0025,2.006962363374671,0.32803674149309997,0.4238954255820683,54.0975,0.41430955717317147
0.1,bandit,5,1.9925,1.949118774774084,0.3565849962365003,0.46616561485919644,64.55,0.45520755299692683
0.1,bandit,6,1.92,1.8938901302624072,0.3412246263587731,0.45931186403404944,58.57,0.44750314026652177
0.1,bandit,7,2.0525,1.9892698549404089,0.3652941091677427,0.45846053988243085,63.3475,0.449143896810962
0.1,bandit,8,1.9575,1.8868773455156242,0.3782836017449124,0.48381398672484205,64.165,0.47326094822684905
0.1,bandit,9,1.8825,1.8655578333457057,0.37641566133699267,0.4883765823297197,67.61,0.4771804902304469
0.1,bandit,10,1.89,1.8275499756709155,0.38680755801513156,0.4919887202781743,73.7375,0.48147060405187003
0.1,bandit,11,1.895,1.809472370685417,0.3732219311526268,0.5070528045849342,64.4975,0.4936697172417034
0.1,bandit,12,2.0075,1.9684351899118337,0.3488410319680244,0.4489757147160801,65.37,0.4389622464412745
0.1,bandit,13,1.94,1.9339090122183598,0.3714284906400701,0.46239119214113544,60.4125,0.4532949219910289
0.1,bandit,14,1.91,1.8845042334696924,0.36548074256678365,0.47273679025499393,62.4875,0.46201118548617287
0.1,bandit,15,1.95,1.9102051757094205,0.37720754717005966,0.4738661722891643,64.0175,0.4642003097772539
0.1,bandit,16,2.1,2.0782351655170728,0.3457046608817641,0.4068512820377914,55.785,0.4007366199221887
0.1,bandit,17,1.9075,1.890624985236894,0.35828630683567936,0.4715352939973757,60.135,0.4602103952812061
0.1,bandit,18,1.985,1.9852018960165112,0.3420794793637472,0.4395157612242386,52.85,0.4297721330381894
0.1,bandit,19,1.9875,1.9939413319288548,0.3731716556060373,0.471223896609246,67.84,0.46141867250892526
0.1,bandit,20,1.9375,1.8814624064610321,0.35482210893610977,0.49195511126971375,65.2325,0.4782418110363534
0.1,bandit,21,1.8175,1.815013226959885,0.3526660534775623,0.468962151850207,59.895,0.4573325420129425
0.1,bandit,22,2.02,1.9982338502971018,0.3368299859986925,0.4386451095546079,59.8625,0.4284635971990163
0.1,bandit,23,1.8675,1.927836066551452,0.3542118654815322,0.4611442175075506,64.2225,0.45045098230494873
0.1,bandit,24,1.94,1.9484113405880112,0.3521927187675199,0.4690272076457095,64.8275,0.4573437587578906
0.1,bandit,25,1.9475,1.8804701229136476,0.36120040174033313,0.45854468089122524,61.5875,0.448810252976136
0.1,bandit,26,2.03,1.9620082259155982,0.3595956526626699,0.45372513465185477,65.4175,0.4443121864529364
0.1,bandit,27,1.92,1.9251634849885408,0.35307237917324824,0.4660306282066962,58.2225,0.4547348033033515
0.1,bandit,28,1.95,1.8798227078162082,0.36724923291238637,0.45502940210813914,57.15,0.44625138518856383
0.1,bandit,29,2.0325,2.017733948700501,0.3372243742511063,0.43553574768881065,53.875,0.4257046103450402
0.1,bandit,30,2.03,2.0109559008405298,0.3581733348912122,0.4720948944096861,65.49,0.4607027384578386
0.1,bandit,31,1.945,1.9562515762592014,0.32944169870484585,0.4491520624602178,55.4925,0.43718102608468057
0.1,bandit,32,1.965,1.9420546235969087,0.35589699745126,0.45150331266404464,63.9775,0.44194268114276625
0.1,bandit,33,1.95,1.9040028482706943,0.3517825741308531,0.47855902652432347,58.57,0.46588138128497647
0.1,bandit,34,1.9,1.8344821859570828,0.3663461048373962,0.480439887454386,67.3925,0.4690305091926871
0.1,bandit,35,1.96,1.9355984641449948,0.35056745071699685,0.4439815693479913,58.47,0.4346401574848919
0.1,bandit,36,1.8425,1.8351453143012992,0.3665831260511701,0.4825321652166612,60.8825,0.47093726130011204
0.1,bandit,37,2.0725,2.0248645378225287,0.35423818153490444,0.43535102532250014,57.68,0.42723974094374056
0.1,bandit,38,1.92,1.9023164522810336,0.3507148297654231,0.48140402082180345,61.67,0.4683351017161654
0.1,bandit,39,2.0575,2.019764046127608,0.3464338046383078,0.4433634766458694,61.4475,0.43367050944511326
0.1,bandit,40,1.9625,1.939245406919019,0.3555142439005606,0.4654268275685204,61.875,0.45443556920172434
